# 1.This file shows the parsed IR info when graph evaluating failed to help find the problem.
# 2.You can search the last `------------------------>` to the node which is inferred failed.
# 3.Refer to https://www.mindspore.cn/search?inputValue=analyze_fail.dat to get more instructions.
# ===============================================================================

# [No.1] construct_wrapper.42
# In file /home/hjh/.conda/envs/md17/lib/python3.9/site-packages/mindspore/nn/wrap/loss_scale.py(330)/    def construct(self, *inputs):/
funcgraph fg_42(
        %para1 : Tensor(F32)[3, 40960, 6]    # inputs0
        , %para300 : Ref[Tensor(F32)][32]    # moment1.network.encoder.1.pool1.mlp.batch_norm.gamma
        , %para301 : Ref[Tensor(F32)][32]    # moment1.network.encoder.1.pool1.mlp.batch_norm.beta
        , %para302 : Ref[Tensor(F32)][64]    # moment1.network.encoder.1.pool2.mlp.conv.bias
        , %para303 : Ref[Tensor(F32)][64]    # moment1.network.encoder.1.pool2.mlp.batch_norm.gamma
        , %para304 : Ref[Tensor(F32)][64]    # moment1.network.encoder.1.pool2.mlp.batch_norm.beta
        , %para305 : Ref[Tensor(F32)][64]    # moment1.network.encoder.2.mlp1.conv.bias
        , %para306 : Ref[Tensor(F32)][64]    # moment1.network.encoder.2.mlp1.batch_norm.gamma
        , %para307 : Ref[Tensor(F32)][64]    # moment1.network.encoder.2.mlp1.batch_norm.beta
        , %para308 : Ref[Tensor(F32)][256]    # moment1.network.encoder.2.mlp2.conv.bias
        , %para309 : Ref[Tensor(F32)][256]    # moment1.network.encoder.2.mlp2.batch_norm.gamma
        , %para310 : Ref[Tensor(F32)][256]    # moment1.network.encoder.2.mlp2.batch_norm.beta
        , %para311 : Ref[Tensor(F32)][256]    # moment1.network.encoder.2.shortcut.conv.bias
        , %para312 : Ref[Tensor(F32)][256]    # moment1.network.encoder.2.shortcut.batch_norm.gamma
        , %para313 : Ref[Tensor(F32)][256]    # moment1.network.encoder.2.shortcut.batch_norm.beta
        , %para314 : Ref[Tensor(F32)][64]    # moment1.network.encoder.2.lse1.mlp.conv.bias
        , %para315 : Ref[Tensor(F32)][64]    # moment1.network.encoder.2.lse1.mlp.batch_norm.gamma
        , %para316 : Ref[Tensor(F32)][64]    # moment1.network.encoder.2.lse1.mlp.batch_norm.beta
        , %para317 : Ref[Tensor(F32)][64]    # moment1.network.encoder.2.lse2.mlp.conv.bias
        , %para318 : Ref[Tensor(F32)][64]    # moment1.network.encoder.2.lse2.mlp.batch_norm.gamma
        , %para319 : Ref[Tensor(F32)][64]    # moment1.network.encoder.2.lse2.mlp.batch_norm.beta
        , %para320 : Ref[Tensor(F32)][64]    # moment1.network.encoder.2.pool1.mlp.conv.bias
        , %para321 : Ref[Tensor(F32)][64]    # moment1.network.encoder.2.pool1.mlp.batch_norm.gamma
        , %para322 : Ref[Tensor(F32)][64]    # moment1.network.encoder.2.pool1.mlp.batch_norm.beta
        , %para323 : Ref[Tensor(F32)][128]    # moment1.network.encoder.2.pool2.mlp.conv.bias
        , %para324 : Ref[Tensor(F32)][128]    # moment1.network.encoder.2.pool2.mlp.batch_norm.gamma
        , %para325 : Ref[Tensor(F32)][128]    # moment1.network.encoder.2.pool2.mlp.batch_norm.beta
        , %para326 : Ref[Tensor(F32)][128]    # moment1.network.encoder.3.mlp1.conv.bias
        , %para327 : Ref[Tensor(F32)][128]    # moment1.network.encoder.3.mlp1.batch_norm.gamma
        , %para328 : Ref[Tensor(F32)][128]    # moment1.network.encoder.3.mlp1.batch_norm.beta
        , %para329 : Ref[Tensor(F32)][512]    # moment1.network.encoder.3.mlp2.conv.bias
        , %para330 : Ref[Tensor(F32)][512]    # moment1.network.encoder.3.mlp2.batch_norm.gamma
        , %para331 : Ref[Tensor(F32)][512]    # moment1.network.encoder.3.mlp2.batch_norm.beta
        , %para332 : Ref[Tensor(F32)][512]    # moment1.network.encoder.3.shortcut.conv.bias
        , %para333 : Ref[Tensor(F32)][512]    # moment1.network.encoder.3.shortcut.batch_norm.gamma
        , %para334 : Ref[Tensor(F32)][512]    # moment1.network.encoder.3.shortcut.batch_norm.beta
        , %para335 : Ref[Tensor(F32)][128]    # moment1.network.encoder.3.lse1.mlp.conv.bias
        , %para336 : Ref[Tensor(F32)][128]    # moment1.network.encoder.3.lse1.mlp.batch_norm.gamma
        , %para337 : Ref[Tensor(F32)][128]    # moment1.network.encoder.3.lse1.mlp.batch_norm.beta
        , %para338 : Ref[Tensor(F32)][128]    # moment1.network.encoder.3.lse2.mlp.conv.bias
        , %para339 : Ref[Tensor(F32)][128]    # moment1.network.encoder.3.lse2.mlp.batch_norm.gamma
        , %para340 : Ref[Tensor(F32)][128]    # moment1.network.encoder.3.lse2.mlp.batch_norm.beta
        , %para341 : Ref[Tensor(F32)][128]    # moment1.network.encoder.3.pool1.mlp.conv.bias
        , %para342 : Ref[Tensor(F32)][128]    # moment1.network.encoder.3.pool1.mlp.batch_norm.gamma
        , %para343 : Ref[Tensor(F32)][128]    # moment1.network.encoder.3.pool1.mlp.batch_norm.beta
        , %para344 : Ref[Tensor(F32)][256]    # moment1.network.encoder.3.pool2.mlp.conv.bias
        , %para345 : Ref[Tensor(F32)][256]    # moment1.network.encoder.3.pool2.mlp.batch_norm.gamma
        , %para346 : Ref[Tensor(F32)][256]    # moment1.network.encoder.3.pool2.mlp.batch_norm.beta
        , %para347 : Ref[Tensor(F32)][256]    # moment1.network.encoder.4.mlp1.conv.bias
        , %para348 : Ref[Tensor(F32)][256]    # moment1.network.encoder.4.mlp1.batch_norm.gamma
        , %para349 : Ref[Tensor(F32)][256]    # moment1.network.encoder.4.mlp1.batch_norm.beta
        , %para350 : Ref[Tensor(F32)][1024]    # moment1.network.encoder.4.mlp2.conv.bias
        , %para351 : Ref[Tensor(F32)][1024]    # moment1.network.encoder.4.mlp2.batch_norm.gamma
        , %para352 : Ref[Tensor(F32)][1024]    # moment1.network.encoder.4.mlp2.batch_norm.beta
        , %para353 : Ref[Tensor(F32)][1024]    # moment1.network.encoder.4.shortcut.conv.bias
        , %para354 : Ref[Tensor(F32)][1024]    # moment1.network.encoder.4.shortcut.batch_norm.gamma
        , %para355 : Ref[Tensor(F32)][1024]    # moment1.network.encoder.4.shortcut.batch_norm.beta
        , %para356 : Ref[Tensor(F32)][256]    # moment1.network.encoder.4.lse1.mlp.conv.bias
        , %para357 : Ref[Tensor(F32)][256]    # moment1.network.encoder.4.lse1.mlp.batch_norm.gamma
        , %para358 : Ref[Tensor(F32)][256]    # moment1.network.encoder.4.lse1.mlp.batch_norm.beta
        , %para359 : Ref[Tensor(F32)][256]    # moment1.network.encoder.4.lse2.mlp.conv.bias
        , %para360 : Ref[Tensor(F32)][256]    # moment1.network.encoder.4.lse2.mlp.batch_norm.gamma
        , %para361 : Ref[Tensor(F32)][256]    # moment1.network.encoder.4.lse2.mlp.batch_norm.beta
        , %para362 : Ref[Tensor(F32)][256]    # moment1.network.encoder.4.pool1.mlp.conv.bias
        , %para363 : Ref[Tensor(F32)][256]    # moment1.network.encoder.4.pool1.mlp.batch_norm.gamma
        , %para364 : Ref[Tensor(F32)][256]    # moment1.network.encoder.4.pool1.mlp.batch_norm.beta
        , %para365 : Ref[Tensor(F32)][512]    # moment1.network.encoder.4.pool2.mlp.conv.bias
        , %para366 : Ref[Tensor(F32)][512]    # moment1.network.encoder.4.pool2.mlp.batch_norm.gamma
        , %para367 : Ref[Tensor(F32)][512]    # moment1.network.encoder.4.pool2.mlp.batch_norm.beta
        , %para368 : Ref[Tensor(F32)][1024]    # moment1.network.mlp.conv.bias
        , %para369 : Ref[Tensor(F32)][1024]    # moment1.network.mlp.batch_norm.gamma
        , %para370 : Ref[Tensor(F32)][1024]    # moment1.network.mlp.batch_norm.beta
        , %para371 : Ref[Tensor(F32)][13]    # moment1.network.supervise.0.conv.bias
        , %para372 : Ref[Tensor(F32)][13]    # moment1.network.supervise.0.batch_norm.gamma
        , %para373 : Ref[Tensor(F32)][13]    # moment1.network.supervise.0.batch_norm.beta
        , %para374 : Ref[Tensor(F32)][13]    # moment1.network.supervise.1.conv.bias
        , %para375 : Ref[Tensor(F32)][13]    # moment1.network.supervise.1.batch_norm.gamma
        , %para376 : Ref[Tensor(F32)][13]    # moment1.network.supervise.1.batch_norm.beta
        , %para377 : Ref[Tensor(F32)][13]    # moment1.network.supervise.2.conv.bias
        , %para378 : Ref[Tensor(F32)][13]    # moment1.network.supervise.2.batch_norm.gamma
        , %para379 : Ref[Tensor(F32)][13]    # moment1.network.supervise.2.batch_norm.beta
        , %para380 : Ref[Tensor(F32)][13]    # moment1.network.supervise.3.conv.bias
        , %para381 : Ref[Tensor(F32)][13]    # moment1.network.supervise.3.batch_norm.gamma
        , %para382 : Ref[Tensor(F32)][13]    # moment1.network.supervise.3.batch_norm.beta
        , %para383 : Ref[Tensor(F32)][13]    # moment1.network.supervise.4.conv.bias
        , %para384 : Ref[Tensor(F32)][13]    # moment1.network.supervise.4.batch_norm.gamma
        , %para385 : Ref[Tensor(F32)][13]    # moment1.network.supervise.4.batch_norm.beta
        , %para386 : Ref[Tensor(F32)][13]    # moment1.network.supervise.5.conv.bias
        , %para387 : Ref[Tensor(F32)][13]    # moment1.network.supervise.5.batch_norm.gamma
        , %para388 : Ref[Tensor(F32)][13]    # moment1.network.supervise.5.batch_norm.beta
        , %para389 : Ref[Tensor(F32)][10]    # moment1.network.Se.0.conv.bias
        , %para390 : Ref[Tensor(F32)][10]    # moment1.network.Se.0.batch_norm.gamma
        , %para391 : Ref[Tensor(F32)][10]    # moment1.network.Se.0.batch_norm.beta
        , %para392 : Ref[Tensor(F32)][10]    # moment1.network.Se.1.conv.bias
        , %para393 : Ref[Tensor(F32)][10]    # moment1.network.Se.1.batch_norm.gamma
        , %para394 : Ref[Tensor(F32)][10]    # moment1.network.Se.1.batch_norm.beta
        , %para395 : Ref[Tensor(F32)][10]    # moment1.network.Se.2.conv.bias
        , %para396 : Ref[Tensor(F32)][10]    # moment1.network.Se.2.batch_norm.gamma
        , %para397 : Ref[Tensor(F32)][10]    # moment1.network.Se.2.batch_norm.beta
        , %para398 : Ref[Tensor(F32)][10]    # moment1.network.Se.3.conv.bias
        , %para399 : Ref[Tensor(F32)][10]    # moment1.network.Se.3.batch_norm.gamma
        , %para400 : Ref[Tensor(F32)][10]    # moment1.network.Se.3.batch_norm.beta
        , %para401 : Ref[Tensor(F32)][512]    # moment1.network.decoder.0.conv.bias
        , %para402 : Ref[Tensor(F32)][512]    # moment1.network.decoder.0.batch_norm.gamma
        , %para403 : Ref[Tensor(F32)][512]    # moment1.network.decoder.0.batch_norm.beta
        , %para404 : Ref[Tensor(F32)][256]    # moment1.network.decoder.1.conv.bias
        , %para405 : Ref[Tensor(F32)][256]    # moment1.network.decoder.1.batch_norm.gamma
        , %para406 : Ref[Tensor(F32)][256]    # moment1.network.decoder.1.batch_norm.beta
        , %para407 : Ref[Tensor(F32)][128]    # moment1.network.decoder.2.conv.bias
        , %para408 : Ref[Tensor(F32)][128]    # moment1.network.decoder.2.batch_norm.gamma
        , %para409 : Ref[Tensor(F32)][128]    # moment1.network.decoder.2.batch_norm.beta
        , %para410 : Ref[Tensor(F32)][32]    # moment1.network.decoder.3.conv.bias
        , %para411 : Ref[Tensor(F32)][32]    # moment1.network.decoder.3.batch_norm.gamma
        , %para412 : Ref[Tensor(F32)][32]    # moment1.network.decoder.3.batch_norm.beta
        , %para413 : Ref[Tensor(F32)][32]    # moment1.network.decoder.4.conv.bias
        , %para414 : Ref[Tensor(F32)][32]    # moment1.network.decoder.4.batch_norm.gamma
        , %para415 : Ref[Tensor(F32)][32]    # moment1.network.decoder.4.batch_norm.beta
        , %para416 : Ref[Tensor(F32)][64]    # moment1.network.fc_end.0.conv.bias
        , %para417 : Ref[Tensor(F32)][64]    # moment1.network.fc_end.0.batch_norm.gamma
        , %para418 : Ref[Tensor(F32)][64]    # moment1.network.fc_end.0.batch_norm.beta
        , %para419 : Ref[Tensor(F32)][32]    # moment1.network.fc_end.1.conv.bias
        , %para420 : Ref[Tensor(F32)][32]    # moment1.network.fc_end.1.batch_norm.gamma
        , %para421 : Ref[Tensor(F32)][32]    # moment1.network.fc_end.1.batch_norm.beta
        , %para422 : Ref[Tensor(F32)][13]    # moment1.network.fc_end.3.conv.bias
        , %para423 : Ref[Tensor(F32)][13]    # moment1.network.fc_end.3.batch_norm.gamma
        , %para424 : Ref[Tensor(F32)][13]    # moment1.network.fc_end.3.batch_norm.beta
        , %para425 : Ref[Tensor(F32)][8, 6]    # moment1.network.fc_start.weight
        , %para426 : Ref[Tensor(F32)][8, 8, 1, 1]    # moment1.network.encoder.0.mlp1.conv.weight
        , %para427 : Ref[Tensor(F32)][32, 16, 1, 1]    # moment1.network.encoder.0.mlp2.conv.weight
        , %para428 : Ref[Tensor(F32)][32, 8, 1, 1]    # moment1.network.encoder.0.shortcut.conv.weight
        , %para429 : Ref[Tensor(F32)][8, 10, 1, 1]    # moment1.network.encoder.0.lse1.mlp.conv.weight
        , %para430 : Ref[Tensor(F32)][8, 8, 1, 1]    # moment1.network.encoder.0.lse2.mlp.conv.weight
        , %para431 : Ref[Tensor(F32)][16, 16]    # moment1.network.encoder.0.pool1.score_fn.0.weight
        , %para432 : Ref[Tensor(F32)][8, 16, 1, 1]    # moment1.network.encoder.0.pool1.mlp.conv.weight
        , %para433 : Ref[Tensor(F32)][16, 16]    # moment1.network.encoder.0.pool2.score_fn.0.weight
        , %para434 : Ref[Tensor(F32)][16, 16, 1, 1]    # moment1.network.encoder.0.pool2.mlp.conv.weight
        , %para435 : Ref[Tensor(F32)][32, 32, 1, 1]    # moment1.network.encoder.1.mlp1.conv.weight
        , %para436 : Ref[Tensor(F32)][128, 64, 1, 1]    # moment1.network.encoder.1.mlp2.conv.weight
        , %para437 : Ref[Tensor(F32)][128, 32, 1, 1]    # moment1.network.encoder.1.shortcut.conv.weight
        , %para438 : Ref[Tensor(F32)][32, 10, 1, 1]    # moment1.network.encoder.1.lse1.mlp.conv.weight
        , %para439 : Ref[Tensor(F32)][32, 32, 1, 1]    # moment1.network.encoder.1.lse2.mlp.conv.weight
        , %para440 : Ref[Tensor(F32)][64, 64]    # moment1.network.encoder.1.pool1.score_fn.0.weight
        , %para441 : Ref[Tensor(F32)][32, 64, 1, 1]    # moment1.network.encoder.1.pool1.mlp.conv.weight
        , %para442 : Ref[Tensor(F32)][64, 64]    # moment1.network.encoder.1.pool2.score_fn.0.weight
        , %para443 : Ref[Tensor(F32)][64, 64, 1, 1]    # moment1.network.encoder.1.pool2.mlp.conv.weight
        , %para444 : Ref[Tensor(F32)][64, 128, 1, 1]    # moment1.network.encoder.2.mlp1.conv.weight
        , %para445 : Ref[Tensor(F32)][256, 128, 1, 1]    # moment1.network.encoder.2.mlp2.conv.weight
        , %para446 : Ref[Tensor(F32)][256, 128, 1, 1]    # moment1.network.encoder.2.shortcut.conv.weight
        , %para447 : Ref[Tensor(F32)][64, 10, 1, 1]    # moment1.network.encoder.2.lse1.mlp.conv.weight
        , %para448 : Ref[Tensor(F32)][64, 64, 1, 1]    # moment1.network.encoder.2.lse2.mlp.conv.weight
        , %para449 : Ref[Tensor(F32)][128, 128]    # moment1.network.encoder.2.pool1.score_fn.0.weight
        , %para450 : Ref[Tensor(F32)][64, 128, 1, 1]    # moment1.network.encoder.2.pool1.mlp.conv.weight
        , %para451 : Ref[Tensor(F32)][128, 128]    # moment1.network.encoder.2.pool2.score_fn.0.weight
        , %para452 : Ref[Tensor(F32)][128, 128, 1, 1]    # moment1.network.encoder.2.pool2.mlp.conv.weight
        , %para453 : Ref[Tensor(F32)][128, 256, 1, 1]    # moment1.network.encoder.3.mlp1.conv.weight
        , %para454 : Ref[Tensor(F32)][512, 256, 1, 1]    # moment1.network.encoder.3.mlp2.conv.weight
        , %para455 : Ref[Tensor(F32)][512, 256, 1, 1]    # moment1.network.encoder.3.shortcut.conv.weight
        , %para456 : Ref[Tensor(F32)][128, 10, 1, 1]    # moment1.network.encoder.3.lse1.mlp.conv.weight
        , %para457 : Ref[Tensor(F32)][128, 128, 1, 1]    # moment1.network.encoder.3.lse2.mlp.conv.weight
        , %para458 : Ref[Tensor(F32)][256, 256]    # moment1.network.encoder.3.pool1.score_fn.0.weight
        , %para459 : Ref[Tensor(F32)][128, 256, 1, 1]    # moment1.network.encoder.3.pool1.mlp.conv.weight
        , %para460 : Ref[Tensor(F32)][256, 256]    # moment1.network.encoder.3.pool2.score_fn.0.weight
        , %para461 : Ref[Tensor(F32)][256, 256, 1, 1]    # moment1.network.encoder.3.pool2.mlp.conv.weight
        , %para462 : Ref[Tensor(F32)][256, 512, 1, 1]    # moment1.network.encoder.4.mlp1.conv.weight
        , %para463 : Ref[Tensor(F32)][1024, 512, 1, 1]    # moment1.network.encoder.4.mlp2.conv.weight
        , %para464 : Ref[Tensor(F32)][1024, 512, 1, 1]    # moment1.network.encoder.4.shortcut.conv.weight
        , %para465 : Ref[Tensor(F32)][256, 10, 1, 1]    # moment1.network.encoder.4.lse1.mlp.conv.weight
        , %para466 : Ref[Tensor(F32)][256, 256, 1, 1]    # moment1.network.encoder.4.lse2.mlp.conv.weight
        , %para467 : Ref[Tensor(F32)][512, 512]    # moment1.network.encoder.4.pool1.score_fn.0.weight
        , %para468 : Ref[Tensor(F32)][256, 512, 1, 1]    # moment1.network.encoder.4.pool1.mlp.conv.weight
        , %para469 : Ref[Tensor(F32)][512, 512]    # moment1.network.encoder.4.pool2.score_fn.0.weight
        , %para470 : Ref[Tensor(F32)][512, 512, 1, 1]    # moment1.network.encoder.4.pool2.mlp.conv.weight
        , %para471 : Ref[Tensor(F32)][1024, 1024, 1, 1]    # moment1.network.mlp.conv.weight
        , %para472 : Ref[Tensor(F32)][13, 1024, 1, 1]    # moment1.network.supervise.0.conv.weight
        , %para473 : Ref[Tensor(F32)][13, 512, 1, 1]    # moment1.network.supervise.1.conv.weight
        , %para474 : Ref[Tensor(F32)][13, 256, 1, 1]    # moment1.network.supervise.2.conv.weight
        , %para475 : Ref[Tensor(F32)][13, 128, 1, 1]    # moment1.network.supervise.3.conv.weight
        , %para476 : Ref[Tensor(F32)][13, 32, 1, 1]    # moment1.network.supervise.4.conv.weight
        , %para477 : Ref[Tensor(F32)][13, 32, 1, 1]    # moment1.network.supervise.5.conv.weight
        , %para478 : Ref[Tensor(F32)][10, 512, 1, 1]    # moment1.network.Se.0.conv.weight
        , %para479 : Ref[Tensor(F32)][10, 256, 1, 1]    # moment1.network.Se.1.conv.weight
        , %para480 : Ref[Tensor(F32)][10, 128, 1, 1]    # moment1.network.Se.2.conv.weight
        , %para481 : Ref[Tensor(F32)][10, 32, 1, 1]    # moment1.network.Se.3.conv.weight
        , %para482 : Ref[Tensor(F32)][1536, 512, 1, 1]    # moment1.network.decoder.0.conv.weight
        , %para483 : Ref[Tensor(F32)][768, 256, 1, 1]    # moment1.network.decoder.1.conv.weight
        , %para484 : Ref[Tensor(F32)][384, 128, 1, 1]    # moment1.network.decoder.2.conv.weight
        , %para485 : Ref[Tensor(F32)][160, 32, 1, 1]    # moment1.network.decoder.3.conv.weight
        , %para486 : Ref[Tensor(F32)][64, 32, 1, 1]    # moment1.network.decoder.4.conv.weight
        , %para487 : Ref[Tensor(F32)][64, 32, 1, 1]    # moment1.network.fc_end.0.conv.weight
        , %para488 : Ref[Tensor(F32)][32, 64, 1, 1]    # moment1.network.fc_end.1.conv.weight
        , %para489 : Ref[Tensor(F32)][13, 32, 1, 1]    # moment1.network.fc_end.3.conv.weight
        , %para490 : Ref[Tensor(F32)][8]    # moment2.network.fc_start.bias
        , %para491 : Ref[Tensor(F32)][8]    # moment2.network.bn_start.0.gamma
        , %para492 : Ref[Tensor(F32)][8]    # moment2.network.bn_start.0.beta
        , %para493 : Ref[Tensor(F32)][8]    # moment2.network.encoder.0.mlp1.conv.bias
        , %para494 : Ref[Tensor(F32)][8]    # moment2.network.encoder.0.mlp1.batch_norm.gamma
        , %para495 : Ref[Tensor(F32)][8]    # moment2.network.encoder.0.mlp1.batch_norm.beta
        , %para496 : Ref[Tensor(F32)][32]    # moment2.network.encoder.0.mlp2.conv.bias
        , %para497 : Ref[Tensor(F32)][32]    # moment2.network.encoder.0.mlp2.batch_norm.gamma
        , %para498 : Ref[Tensor(F32)][32]    # moment2.network.encoder.0.mlp2.batch_norm.beta
        , %para499 : Ref[Tensor(F32)][32]    # moment2.network.encoder.0.shortcut.conv.bias
        , %para500 : Ref[Tensor(F32)][32]    # moment2.network.encoder.0.shortcut.batch_norm.gamma
        , %para501 : Ref[Tensor(F32)][32]    # moment2.network.encoder.0.shortcut.batch_norm.beta
        , %para502 : Ref[Tensor(F32)][8]    # moment2.network.encoder.0.lse1.mlp.conv.bias
        , %para503 : Ref[Tensor(F32)][8]    # moment2.network.encoder.0.lse1.mlp.batch_norm.gamma
        , %para504 : Ref[Tensor(F32)][8]    # moment2.network.encoder.0.lse1.mlp.batch_norm.beta
        , %para505 : Ref[Tensor(F32)][8]    # moment2.network.encoder.0.lse2.mlp.conv.bias
        , %para506 : Ref[Tensor(F32)][8]    # moment2.network.encoder.0.lse2.mlp.batch_norm.gamma
        , %para507 : Ref[Tensor(F32)][8]    # moment2.network.encoder.0.lse2.mlp.batch_norm.beta
        , %para508 : Ref[Tensor(F32)][8]    # moment2.network.encoder.0.pool1.mlp.conv.bias
        , %para509 : Ref[Tensor(F32)][8]    # moment2.network.encoder.0.pool1.mlp.batch_norm.gamma
        , %para510 : Ref[Tensor(F32)][8]    # moment2.network.encoder.0.pool1.mlp.batch_norm.beta
        , %para511 : Ref[Tensor(F32)][16]    # moment2.network.encoder.0.pool2.mlp.conv.bias
        , %para512 : Ref[Tensor(F32)][16]    # moment2.network.encoder.0.pool2.mlp.batch_norm.gamma
        , %para513 : Ref[Tensor(F32)][16]    # moment2.network.encoder.0.pool2.mlp.batch_norm.beta
        , %para514 : Ref[Tensor(F32)][32]    # moment2.network.encoder.1.mlp1.conv.bias
        , %para515 : Ref[Tensor(F32)][32]    # moment2.network.encoder.1.mlp1.batch_norm.gamma
        , %para516 : Ref[Tensor(F32)][32]    # moment2.network.encoder.1.mlp1.batch_norm.beta
        , %para517 : Ref[Tensor(F32)][128]    # moment2.network.encoder.1.mlp2.conv.bias
        , %para518 : Ref[Tensor(F32)][128]    # moment2.network.encoder.1.mlp2.batch_norm.gamma
        , %para519 : Ref[Tensor(F32)][128]    # moment2.network.encoder.1.mlp2.batch_norm.beta
        , %para520 : Ref[Tensor(F32)][128]    # moment2.network.encoder.1.shortcut.conv.bias
        , %para521 : Ref[Tensor(F32)][128]    # moment2.network.encoder.1.shortcut.batch_norm.gamma
        , %para522 : Ref[Tensor(F32)][128]    # moment2.network.encoder.1.shortcut.batch_norm.beta
        , %para523 : Ref[Tensor(F32)][32]    # moment2.network.encoder.1.lse1.mlp.conv.bias
        , %para524 : Ref[Tensor(F32)][32]    # moment2.network.encoder.1.lse1.mlp.batch_norm.gamma
        , %para525 : Ref[Tensor(F32)][32]    # moment2.network.encoder.1.lse1.mlp.batch_norm.beta
        , %para526 : Ref[Tensor(F32)][32]    # moment2.network.encoder.1.lse2.mlp.conv.bias
        , %para527 : Ref[Tensor(F32)][32]    # moment2.network.encoder.1.lse2.mlp.batch_norm.gamma
        , %para528 : Ref[Tensor(F32)][32]    # moment2.network.encoder.1.lse2.mlp.batch_norm.beta
        , %para529 : Ref[Tensor(F32)][32]    # moment2.network.encoder.1.pool1.mlp.conv.bias
        , %para530 : Ref[Tensor(F32)][32]    # moment2.network.encoder.1.pool1.mlp.batch_norm.gamma
        , %para531 : Ref[Tensor(F32)][32]    # moment2.network.encoder.1.pool1.mlp.batch_norm.beta
        , %para532 : Ref[Tensor(F32)][64]    # moment2.network.encoder.1.pool2.mlp.conv.bias
        , %para533 : Ref[Tensor(F32)][64]    # moment2.network.encoder.1.pool2.mlp.batch_norm.gamma
        , %para534 : Ref[Tensor(F32)][64]    # moment2.network.encoder.1.pool2.mlp.batch_norm.beta
        , %para535 : Ref[Tensor(F32)][64]    # moment2.network.encoder.2.mlp1.conv.bias
        , %para536 : Ref[Tensor(F32)][64]    # moment2.network.encoder.2.mlp1.batch_norm.gamma
        , %para537 : Ref[Tensor(F32)][64]    # moment2.network.encoder.2.mlp1.batch_norm.beta
        , %para538 : Ref[Tensor(F32)][256]    # moment2.network.encoder.2.mlp2.conv.bias
        , %para539 : Ref[Tensor(F32)][256]    # moment2.network.encoder.2.mlp2.batch_norm.gamma
        , %para540 : Ref[Tensor(F32)][256]    # moment2.network.encoder.2.mlp2.batch_norm.beta
        , %para541 : Ref[Tensor(F32)][256]    # moment2.network.encoder.2.shortcut.conv.bias
        , %para542 : Ref[Tensor(F32)][256]    # moment2.network.encoder.2.shortcut.batch_norm.gamma
        , %para543 : Ref[Tensor(F32)][256]    # moment2.network.encoder.2.shortcut.batch_norm.beta
        , %para544 : Ref[Tensor(F32)][64]    # moment2.network.encoder.2.lse1.mlp.conv.bias
        , %para545 : Ref[Tensor(F32)][64]    # moment2.network.encoder.2.lse1.mlp.batch_norm.gamma
        , %para546 : Ref[Tensor(F32)][64]    # moment2.network.encoder.2.lse1.mlp.batch_norm.beta
        , %para547 : Ref[Tensor(F32)][64]    # moment2.network.encoder.2.lse2.mlp.conv.bias
        , %para548 : Ref[Tensor(F32)][64]    # moment2.network.encoder.2.lse2.mlp.batch_norm.gamma
        , %para549 : Ref[Tensor(F32)][64]    # moment2.network.encoder.2.lse2.mlp.batch_norm.beta
        , %para550 : Ref[Tensor(F32)][64]    # moment2.network.encoder.2.pool1.mlp.conv.bias
        , %para551 : Ref[Tensor(F32)][64]    # moment2.network.encoder.2.pool1.mlp.batch_norm.gamma
        , %para552 : Ref[Tensor(F32)][64]    # moment2.network.encoder.2.pool1.mlp.batch_norm.beta
        , %para553 : Ref[Tensor(F32)][128]    # moment2.network.encoder.2.pool2.mlp.conv.bias
        , %para554 : Ref[Tensor(F32)][128]    # moment2.network.encoder.2.pool2.mlp.batch_norm.gamma
        , %para555 : Ref[Tensor(F32)][128]    # moment2.network.encoder.2.pool2.mlp.batch_norm.beta
        , %para556 : Ref[Tensor(F32)][128]    # moment2.network.encoder.3.mlp1.conv.bias
        , %para557 : Ref[Tensor(F32)][128]    # moment2.network.encoder.3.mlp1.batch_norm.gamma
        , %para558 : Ref[Tensor(F32)][128]    # moment2.network.encoder.3.mlp1.batch_norm.beta
        , %para559 : Ref[Tensor(F32)][512]    # moment2.network.encoder.3.mlp2.conv.bias
        , %para560 : Ref[Tensor(F32)][512]    # moment2.network.encoder.3.mlp2.batch_norm.gamma
        , %para561 : Ref[Tensor(F32)][512]    # moment2.network.encoder.3.mlp2.batch_norm.beta
        , %para562 : Ref[Tensor(F32)][512]    # moment2.network.encoder.3.shortcut.conv.bias
        , %para563 : Ref[Tensor(F32)][512]    # moment2.network.encoder.3.shortcut.batch_norm.gamma
        , %para564 : Ref[Tensor(F32)][512]    # moment2.network.encoder.3.shortcut.batch_norm.beta
        , %para565 : Ref[Tensor(F32)][128]    # moment2.network.encoder.3.lse1.mlp.conv.bias
        , %para566 : Ref[Tensor(F32)][128]    # moment2.network.encoder.3.lse1.mlp.batch_norm.gamma
        , %para567 : Ref[Tensor(F32)][128]    # moment2.network.encoder.3.lse1.mlp.batch_norm.beta
        , %para568 : Ref[Tensor(F32)][128]    # moment2.network.encoder.3.lse2.mlp.conv.bias
        , %para569 : Ref[Tensor(F32)][128]    # moment2.network.encoder.3.lse2.mlp.batch_norm.gamma
        , %para570 : Ref[Tensor(F32)][128]    # moment2.network.encoder.3.lse2.mlp.batch_norm.beta
        , %para571 : Ref[Tensor(F32)][128]    # moment2.network.encoder.3.pool1.mlp.conv.bias
